zone_id,zone_name,school_type,shade_score,lat,lon,area_m2
146,General Zone 146,General,0.46368869473545327,37.438151390663464,-122.1761028881142,1.3023399999934223e-07
147,General Zone 147,General,0.5209564333979897,37.43685152280689,-122.176175309864,5.3715499998438636e-08
148,General Zone 148,General,0.5102679023228862,37.43727210418834,-122.17733365587797,1.3752901000074374e-07
149,General Zone 149,General,0.46514787512499894,37.43756011801956,-122.1768335820648,1.1489071000233958e-07
150,General Zone 150,General,0.4878646464236612,37.43651706404547,-122.17834826747702,1.0777499999761649e-07
151,Maples Pavilion,General,0.5508265885966653,37.42956077962647,-122.16054538214232,7.375795000013266e-07
152,Palo Alto Fire Station 6,Transit,0.3089561890666972,37.42748397421991,-122.15843147469374,1.68892450001251e-07
153,Sam McDonald Track House,Residential,0.5444894872091223,37.431535803706105,-122.16362677004004,3.955095000039883e-08
154,Stanford Auxiliary Library,Library,0.43894527602775624,37.4301596229579,-122.15498112648899,3.760299000009457e-07
155,General Zone 155,General,0.5585650454110601,37.43042749512836,-122.16206445335123,5.5609264998841835e-08
156,General Zone 156,General,0.48420552715115006,37.428595884046985,-122.17886730324298,5.342250000062514e-08
157,General Zone 157,General,0.5272135547405878,37.43197693974171,-122.15965652090465,5.772649999878722e-08
158,Peninsula Sanitary Service (09-950),General,0.5361619615328718,37.42817090053556,-122.15854342675723,1.7520500001019283e-08
159,Middle Earth,Dining,0.48376375439923996,37.424607991504075,-122.18056376830683,3.162300000068159e-08
160,General Zone 160,General,0.5328216348611859,37.4245831687322,-122.1777523646879,1.6138000000091902e-08
161,General Zone 161,General,0.49677831327192534,37.43362502342718,-122.16214365490109,1.6035499999788796e-08
162,Beefeaters,Dining,0.523230583059358,37.42485319231653,-122.18083437030272,2.2661604998896986e-08
163,General Zone 163,General,0.5233529710760895,37.428457042414706,-122.17918836926779,9.410649999747508e-08
164,Bollard,Dining,0.5135774684074759,37.4249375445293,-122.1805407607778,2.21724950002367e-08
165,General Zone 165,General,0.46902897700544083,37.42493318984221,-122.18072577829169,2.131011000105112e-08
166,General Zone 166,General,0.5435302495589238,37.43068134814185,-122.16241568612413,2.2492462999803228e-07
167,Environmental Safety Facility Bu...,General,0.4920780064971736,37.42929332417372,-122.1853160088178,8.731601500109181e-08
168,Elliott Program Center,General,0.4786518510399854,37.42418212844449,-122.17798461934824,8.917600000171272e-08
169,Ricker Dining Hall,Dining,0.4640775141554764,37.42551922513029,-122.18048942714198,1.1193000000086524e-07
170,General Zone 170,General,0.5190892943188242,37.42482255548498,-122.17995822635723,4.093749999923276e-08
171,General Zone 171,General,0.5277564361842283,37.42473690537866,-122.17942655353247,4.099850000026055e-08
172,General Zone 172,General,0.4616587828927856,37.4290805,-122.1788005,4.387199999869332e-08
173,General Zone 173,General,0.5112093058299281,37.4354502,-122.1801236,5.535999999877846e-09
174,General Zone 174,General,0.4826495775197938,37.43183853230137,-122.1577536765684,1.5872649999732878e-07
175,General Zone 175,General,0.524517279040945,37.429010752865125,-122.17930190482257,1.0208999999679637e-08
176,General Zone 176,General,0.47743664290049914,37.43438149999999,-122.159413,4.982000000067586e-09
